base_price,discount_percentage,quantity,manufacturer,product_id,category,sku,taxless_price,unit_discount_amount,min_price,_id,discount_amount,created_on,product_name,price,taxful_price,base_unit_price,customer_id,basket_date,basket_count,product_category,product_color
11.99,0,1,Elitelligence,41475073,Men's Clothing,ZO0549605496,11.99,0.0,6.35,sold_product_716616_6283,0.0,2016-12-10 02:11:02,Basic T-shirt - dark blue/white,11.99,11.99,11.99,42366585,2019-06-19,2,Basic T-shirt,dark blue/white
24.99,0,1,Oceanavigations,43279538,Men's Clothing,ZO0299602996,24.99,0.0,11.75,sold_product_584677_19400,0.0,2016-12-26 09:28:48,Sweatshirt - grey multicolor,24.99,24.99,24.99,35956841,2019-06-19,2,Sweatshirt,grey multicolor
24.99,0,1,Oceanavigations,43279538,Men's Clothing,ZO0299602996,24.99,0.0,11.75,sold_product_584677_19400,0.0,2016-12-26 09:28:48,Sweatshirt - grey multicolor,24.99,24.99,24.99,30787806,2019-05-26,2,Sweatshirt,grey multicolor
24.99,0,1,Champion Arts,31715598,Women's Clothing,ZO0489604896,24.99,0.0,11.75,sold_product_580088_11238,0.0,2016-12-23 01:33:36,Denim dress - black denim,24.99,24.99,24.99,26139578,2019-06-19,3,Denim dress,black denim
28.99,0,1,Pyramidustries,47880260,Women's Clothing,ZO0185501855,28.99,0.0,15.65,sold_product_584021_20149,0.0,2016-12-25 21:59:02,Shorts - black,28.99,28.99,28.99,3262253,2019-06-19,2,Shorts,black
28.99,0,1,Pyramidustries,47880260,Women's Clothing,ZO0185501855,28.99,0.0,15.65,sold_product_584021_20149,0.0,2016-12-25 21:59:02,Shorts - black,28.99,28.99,28.99,21338592,2019-05-20,2,Shorts,black
99.99,0,1,Low Tide Media,44747002,Women's Shoes,ZO0374603746,99.99,0.0,46.01,sold_product_563119_22794,0.0,2016-12-10 09:51:50,Boots - Midnight Blue,99.99,99.99,99.99,20056678,2019-06-19,2,Boots,Midnight Blue
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,32037116,2019-06-19,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,38297844,2019-05-25,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,41797936,2019-05-20,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,35328195,2019-05-22,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,4142562,2019-06-18,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,14472867,2019-05-26,2,Short coat,white/black
99.99,0,1,Oceanavigations,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99,1087998,2019-05-22,2,Short coat,white/black
74.99,0,1,Primemaster,46000191,Women's Shoes,ZO0360303603,74.99,0.0,34.5,sold_product_584093_12304,0.0,2016-12-25 22:58:05,High heeled sandals - argento,74.99,74.99,74.99,17565651,2019-06-19,2,High heeled sandals,argento
74.99,0,1,Primemaster,46000191,Women's Shoes,ZO0360303603,74.99,0.0,34.5,sold_product_584093_12304,0.0,2016-12-25 22:58:05,High heeled sandals - argento,74.99,74.99,74.99,876917,2019-06-10,2,High heeled sandals,argento
74.99,0,1,Primemaster,46000191,Women's Shoes,ZO0360303603,74.99,0.0,34.5,sold_product_584093_12304,0.0,2016-12-25 22:58:05,High heeled sandals - argento,74.99,74.99,74.99,43228389,2019-06-16,2,High heeled sandals,argento
99.99,0,1,Oceanavigations,46881033,Women's Clothing,ZO0272002720,99.99,0.0,47.01,sold_product_584093_19587,0.0,2016-12-25 22:58:05,Classic coat - black,99.99,99.99,99.99,42079380,2019-06-19,2,Classic coat,black
59.99,0,1,Elitelligence,44752779,Men's Clothing,ZO0542505425,59.99,0.0,28.2,sold_product_558456_11262,0.0,2016-12-06 22:36:29,Winter jacket - black,59.99,59.99,59.99,25533477,2019-06-19,2,Winter jacket,black
20.99,0,1,Elitelligence,41882886,Men's Accessories,ZO0601306013,20.99,0.0,10.7,sold_product_574916_15713,0.0,2016-12-19 03:48:58,Watch - green,20.99,20.99,20.99,10385144,2019-06-19,2,Watch,green
20.99,0,1,Elitelligence,41882886,Men's Accessories,ZO0601306013,20.99,0.0,10.7,sold_product_574916_15713,0.0,2016-12-19 03:48:58,Watch - green,20.99,20.99,20.99,19093994,2019-06-06,2,Watch,green
59.99,0,1,Low Tide Media,8670770,Women's Shoes,ZO0376303763,59.99,0.0,31.79,sold_product_574586_5419,0.0,2016-12-18 21:44:38,Winter boots - brown,59.99,59.99,59.99,5216868,2019-06-19,6,Winter boots,brown
11.99,0,1,Pyramidustries,33914921,Women's Clothing,ZO0212402124,11.99,0.0,6.47,sold_product_574586_19325,0.0,2016-12-18 21:44:38,Shorts - dark blue/pink/dark green,11.99,11.99,11.99,9036689,2019-06-19,2,Shorts,dark blue/pink/dark green
20.99,0,1,Low Tide Media,46026447,Men's Clothing,ZO0417504175,20.99,0.0,9.87,sold_product_565855_19919,0.0,2016-12-12 09:27:22,Shirt - dark blue white,20.99,20.99,20.99,20265792,2019-06-19,2,Shirt,dark blue white
24.99,0,1,Elitelligence,3632762,Men's Clothing,ZO0535205352,24.99,0.0,12.49,sold_product_577120_24502,0.0,2016-12-20 19:49:26,Slim fit jeans - raw blue,24.99,24.99,24.99,34654104,2019-06-19,2,Slim fit jeans,raw blue
24.99,0,1,Elitelligence,3632762,Men's Clothing,ZO0535205352,24.99,0.0,12.49,sold_product_577120_24502,0.0,2016-12-20 19:49:26,Slim fit jeans - raw blue,24.99,24.99,24.99,29363146,2019-06-04,2,Slim fit jeans,raw blue
24.99,0,1,Elitelligence,3632762,Men's Clothing,ZO0535205352,24.99,0.0,12.49,sold_product_577120_24502,0.0,2016-12-20 19:49:26,Slim fit jeans - raw blue,24.99,24.99,24.99,12863379,2019-05-25,2,Slim fit jeans,raw blue
24.99,0,1,Elitelligence,3632762,Men's Clothing,ZO0535205352,24.99,0.0,12.49,sold_product_577120_24502,0.0,2016-12-20 19:49:26,Slim fit jeans - raw blue,24.99,24.99,24.99,35754507,2019-05-26,2,Slim fit jeans,raw blue
28.99,0,1,Low Tide Media,33218001,Men's Clothing,ZO0423104231,28.99,0.0,14.78,sold_product_554937_11751,0.0,2016-12-04 08:41:17,Shorts - beige,28.99,28.99,28.99,31159555,2019-06-19,2,Shorts,beige
28.99,0,1,Low Tide Media,33218001,Men's Clothing,ZO0423104231,28.99,0.0,14.78,sold_product_554937_11751,0.0,2016-12-04 08:41:17,Shorts - beige,28.99,28.99,28.99,42623759,2019-05-27,2,Shorts,beige
28.99,0,1,Low Tide Media,33218001,Men's Clothing,ZO0423104231,28.99,0.0,14.78,sold_product_554937_11751,0.0,2016-12-04 08:41:17,Shorts - beige,28.99,28.99,28.99,11985615,2019-06-02,3,Shorts,beige
41.99,0,1,Oceanavigations,5941180,Men's Accessories,ZO0314203142,41.99,0.0,20.58,sold_product_566734_13452,0.0,2016-12-13 01:01:55,Weekend bag - black,41.99,41.99,41.99,31733002,2019-06-18,2,Weekend bag,black
59.99,0,1,Low Tide Media,34631629,Men's Shoes,ZO0394403944,59.99,0.0,30.01,sold_product_717206_22434,0.0,2016-12-12 22:26:24,Casual lace-ups - cognac,59.99,59.99,59.99,44025439,2019-06-18,2,Casual lace-ups,cognac
7.99,0,1,Elitelligence,46675683,Men's Clothing,ZO0561805618,7.99,0.0,3.76,sold_product_723055_7059,0.0,2016-12-26 02:19:41,Print T-shirt - off white/green,7.99,7.99,7.99,1920107,2019-06-18,2,Print T-shirt,off white/green
7.99,0,1,Elitelligence,46675683,Men's Clothing,ZO0561805618,7.99,0.0,3.76,sold_product_723055_7059,0.0,2016-12-26 02:19:41,Print T-shirt - off white/green,7.99,7.99,7.99,9883534,2019-06-11,2,Print T-shirt,off white/green
8.99,0,1,Pyramidustries,33276794,Women's Accessories,ZO0186801868,8.99,0.0,4.14,sold_product_727462_12012,0.0,2016-12-18 00:59:02,Mittens - grey,8.99,8.99,8.99,13374538,2019-06-18,2,Mittens,grey
20.99,0,1,Tigress Enterprises,7445901,Women's Clothing,ZO0074100741,20.99,0.0,9.66,sold_product_727462_16471,0.0,2016-12-18 00:59:02,Vest - black/Chocolate,20.99,20.99,20.99,12434467,2019-06-18,2,Vest,black/Chocolate
20.99,0,1,Tigress Enterprises,7445901,Women's Clothing,ZO0074100741,20.99,0.0,9.66,sold_product_727462_16471,0.0,2016-12-18 00:59:02,Vest - black/Chocolate,20.99,20.99,20.99,23572851,2019-05-26,2,Vest,black/Chocolate
16.99,0,1,Pyramidustries active,39475547,Women's Clothing,ZO0223202232,16.99,0.0,7.82,sold_product_585880_10554,0.0,2016-12-27 07:24:58,Tracksuit bottoms - Pale Violet Red,16.99,16.99,16.99,25371082,2019-06-18,2,Tracksuit bottoms,Pale Violet Red
41.99,0,1,Oceanavigations,42402177,Women's Clothing,ZO0267602676,41.99,0.0,23.09,sold_product_727462_22882,0.0,2016-12-18 00:59:02,Cardigan - black,41.99,41.99,41.99,2068361,2019-06-18,2,Cardigan,black
74.99,0,1,Oceanavigations,39058017,Women's Shoes,ZO0249902499,74.99,0.0,35.25,sold_product_727269_22880,0.0,2016-12-26 03:41:46,Boots - black,74.99,74.99,74.99,28204561,2019-06-18,3,Boots,black
32.99,0,1,Tigress Enterprises,43864701,Women's Clothing,ZO0068400684,32.99,0.0,17.48,sold_product_727269_12484,0.0,2016-12-26 03:41:46,Cardigan - black/white,32.99,32.99,32.99,44417560,2019-06-18,2,Cardigan,black/white
13.99,0,1,Champion Arts,32356464,Women's Clothing,ZO0494704947,13.99,0.0,6.58,sold_product_727269_21362,0.0,2016-12-26 03:41:46,Long sleeved top - blue,13.99,13.99,13.99,29215183,2019-06-18,2,Long sleeved top,blue
49.99,0,1,Pyramidustries,47007182,Women's Shoes,ZO0143401434,49.99,0.0,25.49,sold_product_551542_13854,0.0,2016-12-01 20:35:31,Lace-up boots - black,49.99,49.99,49.99,11360880,2019-06-18,2,Lace-up boots,black
49.99,0,1,Pyramidustries,47007182,Women's Shoes,ZO0143401434,49.99,0.0,25.49,sold_product_551542_13854,0.0,2016-12-01 20:35:31,Lace-up boots - black,49.99,49.99,49.99,11257276,2019-06-17,2,Lace-up boots,black
49.99,0,1,Pyramidustries,47007182,Women's Shoes,ZO0143401434,49.99,0.0,25.49,sold_product_551542_13854,0.0,2016-12-01 20:35:31,Lace-up boots - black,49.99,49.99,49.99,12993545,2019-06-12,2,Lace-up boots,black
28.99,0,1,Tigress Enterprises,35420610,Women's Accessories,ZO0089100891,28.99,0.0,13.05,sold_product_727381_18383,0.0,2016-12-19 10:46:34,Handbag - taupe/black/pink,28.99,28.99,28.99,22068103,2019-06-17,2,Handbag,taupe/black/pink
28.99,0,1,Tigress Enterprises,35420610,Women's Accessories,ZO0089100891,28.99,0.0,13.05,sold_product_727381_18383,0.0,2016-12-19 10:46:34,Handbag - taupe/black/pink,28.99,28.99,28.99,42074263,2019-05-28,2,Handbag,taupe/black/pink
28.99,0,1,Tigress Enterprises,35420610,Women's Accessories,ZO0089100891,28.99,0.0,13.05,sold_product_727381_18383,0.0,2016-12-19 10:46:34,Handbag - taupe/black/pink,28.99,28.99,28.99,12409657,2019-05-27,2,Handbag,taupe/black/pink
28.99,0,1,Tigress Enterprises,35420610,Women's Accessories,ZO0089100891,28.99,0.0,13.05,sold_product_727381_18383,0.0,2016-12-19 10:46:34,Handbag - taupe/black/pink,28.99,28.99,28.99,12093341,2019-05-26,2,Handbag,taupe/black/pink
11.99,0,1,Pyramidustries,42522846,Women's Clothing,ZO0157601576,11.99,0.0,6.11,sold_product_584723_16651,0.0,2016-12-26 10:24:58,Vest - white,11.99,11.99,11.99,6056954,2019-06-17,2,Vest,white
36.99,0,1,Tigress Enterprises,43812675,Women's Clothing,ZO0035300353,36.99,0.0,20.34,sold_product_727381_13090,0.0,2016-12-19 10:46:34,Summer dress - black,36.99,36.99,36.99,13535048,2019-06-17,2,Summer dress,black
64.99,0,1,Oceanavigations,48333960,Women's Shoes,ZO0251402514,64.99,0.0,34.44,sold_product_727381_7438,0.0,2016-12-19 10:46:34,Trainers - Midnight Blue,64.99,64.99,64.99,28048336,2019-06-17,2,Trainers,Midnight Blue
17.99,0,1,Angeldale,42478659,Men's Accessories,ZO0700707007,17.99,0.0,8.28,sold_product_557816_19655,0.0,2016-12-06 12:08:38,Belt - black,17.99,17.99,17.99,7950100,2019-06-17,2,Belt,black
10.99,0,1,Low Tide Media,1197926,Men's Accessories,ZO0459704597,10.99,0.0,5.06,sold_product_585985_12500,0.0,2016-12-27 09:47:31,Gloves - dark grey multicolor/bordeaux,10.99,10.99,10.99,8928341,2019-06-17,2,Gloves,dark grey multicolor/bordeaux
16.99,0,1,Oceanavigations,37145767,Men's Clothing,ZO0293702937,16.99,0.0,8.83,sold_product_718424_17739,0.0,2016-12-27 13:10:34,Long sleeved top - khaki,16.99,16.99,16.99,34368983,2019-06-17,2,Long sleeved top,khaki
22.99,0,1,Elitelligence,37720451,Men's Clothing,ZO0592705927,22.99,0.0,11.04,sold_product_554901_23793,0.0,2016-12-04 08:00:58,Hoodie - mottled light grey,22.99,22.99,22.99,11259103,2019-06-17,2,Hoodie,mottled light grey
32.99,0,1,Low Tide Media,38221381,Men's Accessories,ZO0464804648,32.99,0.0,17.48,sold_product_722229_18185,0.0,2016-12-26 10:00:29,Weekend bag - brown/brown,32.99,32.99,32.99,31493048,2019-06-17,2,Weekend bag,brown/brown
32.99,0,1,Low Tide Media,38221381,Men's Accessories,ZO0464804648,32.99,0.0,17.48,sold_product_722229_18185,0.0,2016-12-26 10:00:29,Weekend bag - brown/brown,32.99,32.99,32.99,17132431,2019-06-11,2,Weekend bag,brown/brown
32.99,0,1,Microlutions,4131698,Men's Clothing,ZO0122401224,32.99,0.0,15.51,sold_product_720666_23557,0.0,2016-12-28 14:15:22,Jumper - beige,32.99,32.99,32.99,43213385,2019-06-17,2,Jumper,beige
41.99,0,1,Low Tide Media,43357885,Men's Shoes,ZO0397103971,41.99,0.0,21.41,sold_product_591976_18002,0.0,2016-12-31 21:41:46,Boots - brown,41.99,41.99,41.99,43352582,2019-06-17,2,Boots,brown
16.99,0,1,Elitelligence,33028204,Men's Clothing,ZO0565705657,16.99,0.0,9.34,sold_product_720666_16950,0.0,2016-12-28 14:15:22,Long sleeved top - Medium Slate Blue,16.99,16.99,16.99,2966006,2019-06-17,2,Long sleeved top,Medium Slate Blue
28.99,0,1,Elitelligence,51605574,Men's Clothing,ZO0590205902,28.99,0.0,14.21,sold_product_715061_13695,0.0,2016-12-19 19:59:31,Sweatshirt - white,28.99,28.99,28.99,3779615,2019-06-17,2,Sweatshirt,white
199.99,0,1,Oceanavigations,50615765,Men's Clothing,ZO0291402914,199.99,0.0,92.01,sold_product_562149_16955,0.0,2016-12-09 16:24:58,Classic coat - navy,199.99,199.99,199.99,31616251,2019-06-17,2,Classic coat,navy
24.99,0,1,Oceanavigations,40276068,Men's Clothing,ZO0297002970,24.99,0.0,12.25,sold_product_715061_16663,0.0,2016-12-19 19:59:31,Jumper - dark grey multicolor,24.99,24.99,24.99,44416693,2019-06-17,2,Jumper,dark grey multicolor
24.99,0,1,Oceanavigations,40276068,Men's Clothing,ZO0297002970,24.99,0.0,12.25,sold_product_715061_16663,0.0,2016-12-19 19:59:31,Jumper - dark grey multicolor,24.99,24.99,24.99,34508812,2019-06-16,2,Jumper,dark grey multicolor
24.99,0,1,Oceanavigations,40276068,Men's Clothing,ZO0297002970,24.99,0.0,12.25,sold_product_715061_16663,0.0,2016-12-19 19:59:31,Jumper - dark grey multicolor,24.99,24.99,24.99,44473609,2019-06-18,2,Jumper,dark grey multicolor
12.99,0,1,Low Tide Media,6568127,Men's Clothing,ZO0476504765,12.99,0.0,7.14,sold_product_715061_14513,0.0,2016-12-19 19:59:31,3 PACK - Shorts - Blue Violety/navy/grey,12.99,12.99,12.99,2809135,2019-06-17,2,3 PACK,Shorts - Blue Violety/navy/grey
32.99,0,1,Microlutions,46455283,Men's Clothing,ZO0125301253,32.99,0.0,16.17,sold_product_554099_20018,0.0,2016-12-03 18:00:00,Sweatshirt - Medium Spring Green,32.99,32.99,32.99,520652,2019-06-17,2,Sweatshirt,Medium Spring Green
24.99,0,1,Elitelligence,34366102,Men's Shoes,ZO0507105071,24.99,0.0,11.75,sold_product_578916_19674,0.0,2016-12-22 04:48:00,Trainers - brown,24.99,24.99,24.99,13418756,2019-06-17,2,Trainers,brown
74.99,0,1,Low Tide Media,40220752,Men's Clothing,ZO0428704287,74.99,0.0,33.75,sold_product_574079_15667,0.0,2016-12-18 12:37:26,Summer jacket - dark blue,74.99,74.99,74.99,16289848,2019-06-17,2,Summer jacket,dark blue
41.99,0,1,Oceanavigations,6844409,Women's Accessories,ZO0320003200,41.99,0.0,22.67,sold_product_720445_12699,0.0,2016-12-12 10:17:46,Weekend bag - dessert,41.99,41.99,41.99,23460100,2019-06-17,2,Weekend bag,dessert
79.99,0,1,Angeldale,2129027,Men's Shoes,ZO0687606876,79.99,0.0,42.39,sold_product_716724_23975,0.0,2016-12-31 08:28:19,Winter boots - cognac,79.99,79.99,79.99,40411726,2019-06-17,2,Winter boots,cognac
59.99,0,1,Oceanavigations,47608896,Men's Clothing,ZO0290502905,59.99,0.0,32.99,sold_product_716724_6338,0.0,2016-12-31 08:28:19,Trenchcoat - black,59.99,59.99,59.99,21159636,2019-06-17,2,Trenchcoat,black
21.99,0,1,Microlutions,38963117,Women's Accessories,ZO0126701267,21.99,0.0,10.34,sold_product_716724_14116,0.0,2016-12-31 08:28:19,Watch - black,21.99,21.99,21.99,12375065,2019-06-17,2,Watch,black
11.99,0,1,Oceanavigations,50416775,Men's Accessories,ZO0308503085,11.99,0.0,6.11,sold_product_575035_15290,0.0,2016-12-19 05:48:29,Hat - light grey multicolor,11.99,11.99,11.99,3343477,2019-06-17,2,Hat,light grey multicolor
16.99,0,1,Elitelligence,47019441,Men's Clothing,ZO0580905809,16.99,0.0,8.33,sold_product_552271_2887,0.0,2016-12-02 09:31:41,Sweatshirt - oliv,16.99,16.99,16.99,43569820,2019-06-17,2,Sweatshirt,oliv
